id,domain,question,a,b,c,d,correct,explanation,reference
Q74,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Move to email updates only,Reduce frequency to weekly,Increase team size,Time‑box and focus on blockers and plan for the day,D,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q75,People,A senior SME dominates meetings. Best facilitation technique?,Talk only to the SME offline,Let them speak to avoid conflict,Structured round‑robin and a parking lot,Cancel meetings,C,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q76,Process,You discover a change fixes a defect but adds scope. What should you do next?,Assess impact on baselines and submit to change control,Ask team to absorb it,Reject any change that adds scope,Approve it immediately,A,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q77,Process,Critical path is slipping; some non‑critical tasks have float. Best action?,Fast‑track critical activities and re‑sequence using available float,Re‑estimate all work,Add random buffers,Extend the deadline,A,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q78,Process,Estimate accuracy is poor. What technique improves it most?,Bottom‑up with three‑point estimates and historical data,Pad each task by 20%,High‑level analogy only,Single expert opinion,A,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q79,Process,Repeated defects come from the same source. Which tools help most?,Histogram only,Scatter diagram only,Pareto plus root‑cause analysis,Run chart only,C,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q80,Process,A vendor suggests cost‑plus contract. What do you ensure first?,Flexible schedule,Upfront payment,No audits,Clear scope and strong change control,D,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q81,Process,You discover a change fixes a defect but adds scope. What is the best next step?,Assess impact on baselines and submit to change control,Approve it immediately,Ask team to absorb it,Reject any change that adds scope,A,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q82,Process,Critical path is slipping; some non‑critical tasks have float. Best action?,Extend the deadline,Add random buffers,Fast‑track critical activities and re‑sequence using available float,Re‑estimate all work,C,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q83,Process,Estimate accuracy is poor. What technique improves it most?,Single expert opinion,High‑level analogy only,Bottom‑up with three‑point estimates and historical data,Pad each task by 20%,C,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q84,Process,Repeated defects come from the same source. Which tools help most?,Scatter diagram only,Run chart only,Histogram only,Pareto plus root‑cause analysis,D,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q85,Process,A vendor suggests cost‑plus contract. What do you ensure first?,No audits,Flexible schedule,Upfront payment,Clear scope and strong change control,D,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q86,Process,You discover a change fixes a defect but adds scope. What is the best next step?,Reject any change that adds scope,Ask team to absorb it,Approve it immediately,Assess impact on baselines and submit to change control,D,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q87,Process,Critical path is slipping; some non‑critical tasks have float. What should you do first?,Fast‑track critical activities and re‑sequence using available float,Extend the deadline,Add random buffers,Re‑estimate all work,A,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q88,Process,Estimate accuracy is poor. What technique improves it most?,Bottom‑up with three‑point estimates and historical data,High‑level analogy only,Pad each task by 20%,Single expert opinion,A,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q89,Process,Repeated defects come from the same source. Which tools help most?,Run chart only,Scatter diagram only,Histogram only,Pareto plus root‑cause analysis,D,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q90,Process,A vendor suggests cost‑plus contract. What do you ensure first?,Flexible schedule,Upfront payment,No audits,Clear scope and strong change control,D,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q91,Process,You discover a change fixes a defect but adds scope. What is the best next step?,Ask team to absorb it,Approve it immediately,Assess impact on baselines and submit to change control,Reject any change that adds scope,C,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q92,Process,Critical path is slipping; some non‑critical tasks have float. What should you do first?,Re‑estimate all work,Add random buffers,Fast‑track critical activities and re‑sequence using available float,Extend the deadline,C,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q93,Process,Estimate accuracy is poor. What technique improves it most?,High‑level analogy only,Bottom‑up with three‑point estimates and historical data,Single expert opinion,Pad each task by 20%,B,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q94,Process,Repeated defects come from the same source. Which tools help most?,Histogram only,Scatter diagram only,Run chart only,Pareto plus root‑cause analysis,D,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q95,Process,A vendor suggests cost‑plus contract. What do you ensure first?,Upfront payment,No audits,Flexible schedule,Clear scope and strong change control,D,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q96,Process,You discover a change fixes a defect but adds scope. What is the best next step?,Assess impact on baselines and submit to change control,Approve it immediately,Reject any change that adds scope,Ask team to absorb it,A,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q97,Process,Critical path is slipping; some non‑critical tasks have float. What should you do first?,Add random buffers,Re‑estimate all work,Fast‑track critical activities and re‑sequence using available float,Extend the deadline,C,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q98,Process,Estimate accuracy is poor. What technique improves it most?,Bottom‑up with three‑point estimates and historical data,High‑level analogy only,Pad each task by 20%,Single expert opinion,A,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q99,Process,Repeated defects come from the same source. Which tools help most?,Run chart only,Pareto plus root‑cause analysis,Histogram only,Scatter diagram only,B,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q100,Process,A vendor suggests cost‑plus contract. What do you ensure first?,Flexible schedule,Clear scope and strong change control,No audits,Upfront payment,B,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q101,Process,You discover a change fixes a defect but adds scope. What is the best next step?,Ask team to absorb it,Reject any change that adds scope,Approve it immediately,Assess impact on baselines and submit to change control,D,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q102,Process,Critical path is slipping; some non‑critical tasks have float. Best action?,Fast‑track critical activities and re‑sequence using available float,Extend the deadline,Re‑estimate all work,Add random buffers,A,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q103,Process,Estimate accuracy is poor. What technique improves it most?,Bottom‑up with three‑point estimates and historical data,Single expert opinion,High‑level analogy only,Pad each task by 20%,A,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q104,Process,Repeated defects come from the same source. Which tools help most?,Scatter diagram only,Histogram only,Run chart only,Pareto plus root‑cause analysis,D,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q105,Process,A vendor suggests cost‑plus contract. What do you ensure first?,Clear scope and strong change control,No audits,Flexible schedule,Upfront payment,A,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q106,Process,You discover a change fixes a defect but adds scope. What should you do next?,Ask team to absorb it,Approve it immediately,Reject any change that adds scope,Assess impact on baselines and submit to change control,D,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q107,Process,Critical path is slipping; some non‑critical tasks have float. Best action?,Re‑estimate all work,Fast‑track critical activities and re‑sequence using available float,Extend the deadline,Add random buffers,B,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q108,Process,Estimate accuracy is poor. What technique improves it most?,Pad each task by 20%,Single expert opinion,Bottom‑up with three‑point estimates and historical data,High‑level analogy only,C,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q109,Process,Repeated defects come from the same source. Which tools help most?,Run chart only,Pareto plus root‑cause analysis,Scatter diagram only,Histogram only,B,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q110,Process,A vendor suggests cost‑plus contract. What do you ensure first?,Clear scope and strong change control,No audits,Upfront payment,Flexible schedule,A,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q111,Process,You discover a change fixes a defect but adds scope. What is the best next step?,Ask team to absorb it,Reject any change that adds scope,Approve it immediately,Assess impact on baselines and submit to change control,D,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q112,Process,Critical path is slipping; some non‑critical tasks have float. Best action?,Extend the deadline,Re‑estimate all work,Add random buffers,Fast‑track critical activities and re‑sequence using available float,D,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q113,Process,Estimate accuracy is poor. What technique improves it most?,Bottom‑up with three‑point estimates and historical data,Single expert opinion,Pad each task by 20%,High‑level analogy only,A,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q114,Process,Repeated defects come from the same source. Which tools help most?,Pareto plus root‑cause analysis,Scatter diagram only,Run chart only,Histogram only,A,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q115,Process,A vendor suggests cost‑plus contract. What do you ensure first?,Flexible schedule,No audits,Clear scope and strong change control,Upfront payment,C,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q116,Process,You discover a change fixes a defect but adds scope. What is the best next step?,Reject any change that adds scope,Assess impact on baselines and submit to change control,Approve it immediately,Ask team to absorb it,B,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q117,Process,Critical path is slipping; some non‑critical tasks have float. What should you do first?,Re‑estimate all work,Extend the deadline,Fast‑track critical activities and re‑sequence using available float,Add random buffers,C,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q118,Process,Estimate accuracy is poor. What technique improves it most?,Bottom‑up with three‑point estimates and historical data,High‑level analogy only,Single expert opinion,Pad each task by 20%,A,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q119,Process,Repeated defects come from the same source. Which tools help most?,Run chart only,Scatter diagram only,Pareto plus root‑cause analysis,Histogram only,C,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q120,Process,A vendor suggests cost‑plus contract. What do you ensure first?,No audits,Flexible schedule,Upfront payment,Clear scope and strong change control,D,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q121,Process,You discover a change fixes a defect but adds scope. What is the best next step?,Assess impact on baselines and submit to change control,Approve it immediately,Ask team to absorb it,Reject any change that adds scope,A,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q122,Process,Critical path is slipping; some non‑critical tasks have float. What should you do first?,Extend the deadline,Re‑estimate all work,Add random buffers,Fast‑track critical activities and re‑sequence using available float,D,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q123,Process,Estimate accuracy is poor. What technique improves it most?,Bottom‑up with three‑point estimates and historical data,Single expert opinion,Pad each task by 20%,High‑level analogy only,A,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q124,Process,Repeated defects come from the same source. Which tools help most?,Pareto plus root‑cause analysis,Run chart only,Histogram only,Scatter diagram only,A,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
